ID_FAZENDA,SATELITE,TIPO_CULTURA,AREA_FAZENDA_ACRES,TIPO_IRRIGACAO,TIPO_SOLO,ESTACAO,FERTILIZANTE_UTILIZADO_TON,PESTICIDA_UTILIZADO_KG,PRODUTIVIDADE_TON,CONSUMO_AGUA_M3,TEMPERATURA_MEDIA_C,UMIDADE_SOLO_PCT,INDICE_NDVI,RISCO_AMBIENTAL
FAZ_00022,AgroSat_BR,Soja,368.42,Aspersao,Franco,Primavera,9.1,76.57,68.15,2441.86,19.93,79.03,0.825,0
FAZ_00023,TerraScan_X,Milho,314.26,Aspersao,Calcario,Primavera,8.3,76.26,48.83,5013.02,24.45,69.84,0.688,0
FAZ_00024,Sentinel_Agro,Tomate,107.97,Inundacao,Calcario,Verao,5.22,102.82,35.45,6414.26,32.54,61.94,0.661,0
FAZ_00025,Sentinel_Agro,Arroz,387.2,Manual,Argiloso,Verao,9.25,62.34,57.1,4642.37,26.15,51.44,0.708,0
FAZ_00026,Gaia_Vision,Cana_de_Acucar,218.14,Aspersao,Organico,Verao,6.27,78.36,49.6,2481.1,23.51,69.16,0.678,0
FAZ_00027,Gaia_Vision,Soja,388.79,Aspersao,Siltoso,Verao,10.72,119.29,39.97,2456.54,25.3,65.5,0.632,0
FAZ_00028,OrbSat_Field,Cana_de_Acucar,249.4,Manual,Calcario,Inverno,14.03,30.69,46.99,3375.1,20.76,74.93,0.874,0
FAZ_00029,TerraScan_X,Soja,745.8,Gotejamento,Arenoso,Outono,8.89,166.12,79.68,5513.29,20.21,77.05,0.654,0
FAZ_00030,TerraScan_X,Soja,201.93,Gotejamento,Arenoso,Verao,6.17,28.53,34.31,800.0,27.38,67.03,0.756,0
FAZ_00031,Gaia_Vision,Soja,198.14,Inundacao,Calcario,Primavera,6.79,39.79,52.81,6965.56,19.53,78.26,0.821,0
FAZ_00032,TerraScan_X,Cenoura,173.56,Aspersao,Argiloso,Primavera,7.52,14.55,57.8,1919.42,20.94,82.63,0.924,0
FAZ_00033,TerraScan_X,Tomate,306.09,Sequeiro,,Primavera,8.52,112.96,49.76,2775.75,23.14,55.02,0.595,0
FAZ_00034,Sentinel_Agro,Milho,267.67,Aspersao,Arenoso,Verao,14.75,53.07,49.75,3672.61,30.84,55.43,0.594,0
FAZ_00035,Gaia_Vision,Milho,606.78,Manual,Argiloso,Outono,22.74,213.68,80.82,8599.54,19.83,74.23,0.654,1
FAZ_00036,AgroSat_BR,Cana_de_Acucar,494.33,Inundacao,Argiloso,Inverno,18.82,139.71,70.37,8861.71,15.87,57.35,0.685,1
FAZ_00037,Gaia_Vision,Cana_de_Acucar,173.09,Gotejamento,Argiloso,Verao,9.3,36.24,46.66,2926.35,31.72,,0.718,0
FAZ_00038,AgroSat_BR,Soja,593.27,Gotejamento,Siltoso,Verao,17.8,130.4,56.91,8457.99,35.91,61.45,0.707,1
FAZ_00039,Sentinel_Agro,Cenoura,304.12,Gotejamento,Argiloso,Inverno,5.37,37.88,63.24,4291.92,10.4,93.94,0.888,0
FAZ_00040,OrbSat_Field,Soja,362.65,Gotejamento,Argiloso,Outono,7.56,90.44,60.73,3928.29,23.27,59.34,0.641,0
FAZ_00041,TerraScan_X,Cenoura,150.31,Aspersao,Argiloso,Verao,5.81,11.32,38.42,1862.99,30.39,61.8,0.796,0
FAZ_00042,Sentinel_Agro,Soja,566.9,Inundacao,Calcario,Primavera,13.42,53.11,65.65,7030.23,17.74,59.93,0.654,0
FAZ_00043,TerraScan_X,Arroz,261.85,Inundacao,Organico,Primavera,3.31,27.42,45.14,7562.49,27.03,56.75,0.791,1
FAZ_00044,OrbSat_Field,Arroz,807.39,Inundacao,Calcario,Verao,22.83,201.47,71.34,13874.52,19.54,71.92,0.713,1
FAZ_00045,OrbSat_Field,Trigo,290.35,Gotejamento,Organico,Outono,10.3,84.93,51.89,2436.29,25.86,61.67,0.617,0
FAZ_00046,Sentinel_Agro,Soja,584.1,Inundacao,Siltoso,Primavera,7.04,202.82,50.17,11682.12,27.97,59.41,0.631,1
FAZ_00047,OrbSat_Field,Tomate,246.19,Aspersao,Siltoso,Primavera,12.93,124.49,38.71,1754.03,27.55,64.91,0.724,0
FAZ_00048,AgroSat_BR,Trigo,295.88,Sequeiro,Arenoso,Inverno,8.92,58.45,36.0,2365.57,17.34,57.14,0.626,0
FAZ_00049,OrbSat_Field,Cana_de_Acucar,318.57,Sequeiro,Calcario,Outono,12.34,38.88,48.59,5109.29,23.13,61.58,0.732,0
FAZ_00050,TerraScan_X,Soja,313.08,Manual,Organico,Verao,8.51,1.48,47.76,5104.16,35.31,56.31,,0
FAZ_00051,TerraScan_X,Arroz,262.23,Manual,Siltoso,Inverno,7.72,56.65,53.55,2697.31,16.58,78.85,0.872,0
FAZ_00052,TerraScan_X,Cenoura,224.76,Gotejamento,Siltoso,Inverno,7.05,65.54,45.69,1769.88,21.14,92.48,0.829,0
FAZ_00053,TerraScan_X,Tomate,310.11,Gotejamento,Calcario,Inverno,13.36,132.96,51.97,2153.74,17.34,77.39,0.611,0
FAZ_00054,AgroSat_BR,Soja,323.14,Manual,Arenoso,Outono,7.85,77.71,35.37,3071.06,25.39,50.79,0.548,0
FAZ_00055,Gaia_Vision,Milho,462.53,Aspersao,Argiloso,Outono,13.56,56.5,60.88,5620.54,17.08,74.6,0.728,0
FAZ_00056,Sentinel_Agro,Milho,316.23,Aspersao,Franco,Outono,10.56,84.82,51.08,4506.72,19.72,68.31,0.736,0
FAZ_00057,TerraScan_X,Cenoura,270.14,Manual,Arenoso,Verao,8.78,45.39,44.44,1893.02,32.04,52.45,0.705,0
FAZ_00058,OrbSat_Field,Trigo,323.26,Inundacao,Franco,Outono,2.9,59.74,57.03,7434.77,23.17,61.59,0.725,0
FAZ_00059,TerraScan_X,Milho,219.39,Gotejamento,Arenoso,Inverno,13.04,58.72,51.04,2459.65,30.77,76.08,0.785,0
FAZ_00060,OrbSat_Field,Trigo,173.44,Gotejamento,Arenoso,Primavera,2.18,1.0,43.25,800.0,30.68,50.36,0.777,0
FAZ_00061,OrbSat_Field,Arroz,530.07,Gotejamento,Argiloso,Verao,15.66,112.25,74.55,6389.95,40.06,55.58,0.614,1
FAZ_00062,TerraScan_X,Soja,497.92,Manual,Siltoso,Verao,15.85,112.76,47.12,6538.93,29.69,47.18,0.46,1
FAZ_00063,AgroSat_BR,Arroz,288.66,Aspersao,Organico,Verao,4.51,53.96,48.0,2966.4,24.47,74.71,0.727,0
FAZ_00064,OrbSat_Field,Arroz,432.16,Sequeiro,Arenoso,Inverno,13.93,118.8,60.04,4745.68,8.75,86.48,0.764,0
FAZ_00065,OrbSat_Field,Batata,196.33,Manual,Argiloso,Outono,6.89,148.32,51.72,2669.17,23.52,72.54,0.638,0
FAZ_00066,TerraScan_X,Algodao,233.7,Gotejamento,Franco,Inverno,3.04,122.91,47.5,1634.16,17.58,69.01,0.745,0
FAZ_00067,OrbSat_Field,Tomate,357.89,Gotejamento,Calcario,Primavera,16.79,152.26,50.51,2895.85,24.73,77.42,0.648,0
FAZ_00068,OrbSat_Field,Trigo,557.95,Aspersao,Calcario,Outono,16.6,136.72,68.36,5273.67,19.18,70.12,0.62,1
FAZ_00069,TerraScan_X,Batata,936.3,Sequeiro,Siltoso,Primavera,20.85,125.2,86.98,9176.45,14.31,77.27,0.659,0
FAZ_00070,TerraScan_X,Algodao,425.79,Aspersao,Calcario,Verao,15.22,130.57,70.12,5535.73,26.63,61.6,0.787,1
FAZ_00071,Sentinel_Agro,Tomate,436.38,Manual,Arenoso,Verao,10.56,180.24,46.71,2603.44,28.04,59.07,0.53,1
FAZ_00072,AgroSat_BR,Trigo,401.1,Aspersao,Franco,Inverno,11.96,41.07,75.29,2898.23,8.79,89.71,0.858,0
FAZ_00073,AgroSat_BR,Soja,303.46,Aspersao,Arenoso,Outono,5.65,33.87,64.82,3991.53,20.49,88.66,0.88,0
FAZ_00074,OrbSat_Field,Tomate,625.11,Sequeiro,Calcario,Verao,19.71,188.7,49.78,6060.05,22.83,47.53,0.56,1
FAZ_00075,AgroSat_BR,Arroz,183.22,Gotejamento,Organico,Inverno,1.46,37.99,49.0,2165.93,28.42,80.27,0.917,0
FAZ_00076,OrbSat_Field,Algodao,360.41,Inundacao,Calcario,Primavera,10.36,124.52,48.86,6655.76,24.83,55.56,0.734,0
FAZ_00077,Sentinel_Agro,Algodao,517.39,Gotejamento,Organico,Inverno,12.44,202.71,72.76,4613.04,19.82,68.87,0.7,0
FAZ_00078,TerraScan_X,Algodao,408.2,Manual,Calcario,Outono,3.89,120.77,59.46,5471.09,19.98,59.57,0.675,0
FAZ_00079,TerraScan_X,Trigo,214.13,Manual,Siltoso,Outono,4.54,44.16,46.18,3118.01,28.03,77.33,0.78,0
FAZ_00080,TerraScan_X,Tomate,191.62,Sequeiro,Franco,Outono,12.43,78.75,35.65,944.73,18.15,70.06,0.795,0
FAZ_00081,AgroSat_BR,Arroz,360.47,Gotejamento,Organico,Verao,7.18,103.63,52.14,2953.42,41.07,48.45,0.675,0
FAZ_00082,Sentinel_Agro,Batata,174.93,Gotejamento,Argiloso,Inverno,5.73,111.61,30.54,2018.31,31.13,56.35,0.614,1
FAZ_00083,AgroSat_BR,Soja,755.43,Aspersao,Siltoso,Primavera,17.77,159.54,70.46,10157.38,35.3,57.2,0.587,1
FAZ_00084,AgroSat_BR,Milho,394.07,Aspersao,Arenoso,Outono,11.77,86.82,60.21,2100.89,26.44,51.83,0.653,0
FAZ_00085,Sentinel_Agro,Batata,502.97,Inundacao,Calcario,Inverno,17.76,156.27,43.88,8484.97,18.9,67.52,0.491,1
FAZ_00086,Sentinel_Agro,Arroz,587.36,Aspersao,Franco,Verao,19.53,40.93,74.53,4974.6,27.69,70.55,0.809,0
FAZ_00087,Sentinel_Agro,Milho,385.45,Gotejamento,Franco,Primavera,19.96,100.16,59.25,6217.1,20.74,71.78,0.685,0
FAZ_00088,Sentinel_Agro,Milho,480.49,Manual,Calcario,Primavera,20.83,147.68,70.84,2815.96,27.42,68.46,0.625,1
FAZ_00089,TerraScan_X,Algodao,391.66,Manual,,Primavera,5.17,83.38,42.12,6109.37,20.44,61.07,0.638,0
FAZ_00090,Gaia_Vision,Cana_de_Acucar,378.35,Sequeiro,Organico,Verao,9.91,127.67,33.96,3758.75,33.08,50.37,0.489,1
FAZ_00091,Gaia_Vision,Arroz,399.4,Aspersao,Calcario,Outono,3.19,26.01,56.33,3358.3,20.73,65.21,0.738,0
FAZ_00092,Sentinel_Agro,Algodao,1196.32,Aspersao,Franco,Verao,35.0,319.6,77.34,14267.04,34.4,68.49,0.576,1
FAZ_00093,Gaia_Vision,Arroz,552.43,Gotejamento,Argiloso,Primavera,11.5,55.04,45.33,4054.98,28.66,57.14,0.635,0
FAZ_00094,Gaia_Vision,Cana_de_Acucar,1059.02,Gotejamento,Argiloso,Inverno,19.14,295.97,86.18,6135.89,19.43,88.58,0.668,1
FAZ_00095,Sentinel_Agro,Soja,392.76,Aspersao,Arenoso,Primavera,11.39,29.28,46.49,3765.33,19.31,69.77,0.655,0
FAZ_00096,Gaia_Vision,Cana_de_Acucar,751.52,Sequeiro,Argiloso,Inverno,26.04,112.09,60.31,8687.56,12.06,82.0,0.661,1
FAZ_00097,AgroSat_BR,Cenoura,259.18,Gotejamento,Siltoso,Verao,3.33,54.2,32.99,2570.64,31.29,56.4,0.491,0
FAZ_00098,OrbSat_Field,Batata,571.36,Aspersao,Franco,Verao,11.86,194.05,65.85,4852.64,24.58,59.83,0.599,0
FAZ_00099,OrbSat_Field,Algodao,183.63,Gotejamento,Siltoso,Verao,2.76,54.3,44.41,2359.28,24.71,71.49,0.822,0
FAZ_00100,Sentinel_Agro,Batata,300.28,Aspersao,Argiloso,Inverno,9.41,134.96,53.33,2681.09,19.56,63.65,0.681,0
FAZ_00101,TerraScan_X,Cenoura,365.59,Gotejamento,Argiloso,Verao,4.71,90.94,48.5,2488.6,23.03,92.5,0.772,0
FAZ_00102,Sentinel_Agro,Cana_de_Acucar,141.47,Aspersao,Siltoso,Outono,11.49,5.36,41.04,800.0,25.89,70.93,0.898,0
FAZ_00103,TerraScan_X,Trigo,305.2,Aspersao,Arenoso,Primavera,10.06,65.13,43.3,2209.67,22.25,72.63,0.757,0
FAZ_00104,OrbSat_Field,Cana_de_Acucar,663.7,Gotejamento,Argiloso,Outono,28.82,114.08,67.96,7050.22,26.04,46.77,0.643,1
FAZ_00105,Sentinel_Agro,Cana_de_Acucar,542.81,Gotejamento,Siltoso,Inverno,14.73,164.3,64.72,5993.64,29.82,66.66,0.709,1
FAZ_00106,AgroSat_BR,Cenoura,237.47,Inundacao,Siltoso,Verao,4.43,64.0,43.4,4985.94,29.27,63.89,0.757,0
FAZ_00107,Gaia_Vision,Soja,521.66,Aspersao,Franco,Primavera,18.12,96.19,71.39,4016.48,22.32,67.22,0.69,0
FAZ_00108,TerraScan_X,Arroz,552.37,Gotejamento,Arenoso,Verao,9.0,74.57,48.6,6892.64,34.64,58.15,,1
FAZ_00109,Gaia_Vision,Cenoura,492.96,Sequeiro,Organico,Verao,16.52,124.27,37.47,3688.53,34.25,54.67,0.644,1
FAZ_00110,Gaia_Vision,Arroz,476.48,Aspersao,Siltoso,Primavera,16.22,98.09,70.15,4059.51,18.76,90.59,0.8,0
FAZ_00111,Sentinel_Agro,Cenoura,349.94,Inundacao,Franco,Primavera,11.96,64.64,60.0,7526.17,32.1,43.23,0.614,0
FAZ_00112,Gaia_Vision,Arroz,611.83,Sequeiro,Organico,Outono,7.83,39.88,76.68,7692.11,20.22,77.25,0.812,0
FAZ_00113,AgroSat_BR,Batata,583.37,Aspersao,Franco,Outono,14.87,197.55,45.69,8275.99,19.38,82.55,,1
FAZ_00114,Gaia_Vision,Cenoura,725.55,Manual,Franco,Outono,16.1,121.6,86.81,8765.46,31.67,42.27,0.561,1
FAZ_00115,Sentinel_Agro,Cenoura,626.9,Sequeiro,Calcario,Outono,23.28,136.78,49.07,4755.49,31.52,37.79,0.535,1
FAZ_00116,AgroSat_BR,Cenoura,230.53,Gotejamento,Arenoso,Outono,5.05,65.74,43.56,2204.03,22.83,63.49,0.65,0
FAZ_00117,OrbSat_Field,Arroz,352.83,Sequeiro,Argiloso,Inverno,9.56,71.83,45.42,4852.25,23.65,59.26,0.545,0
FAZ_00118,Gaia_Vision,Soja,97.67,Gotejamento,Arenoso,Inverno,2.88,30.41,40.8,1565.2,15.92,67.56,0.708,0
FAZ_00119,Sentinel_Agro,Tomate,243.44,Aspersao,Organico,Verao,12.83,127.12,46.29,3381.64,32.33,64.8,0.635,0
FAZ_00120,OrbSat_Field,Arroz,272.95,Manual,Calcario,Verao,6.59,75.97,46.11,1490.17,20.9,56.1,0.59,0
FAZ_00121,OrbSat_Field,Algodao,314.43,Sequeiro,Arenoso,Outono,9.2,124.07,35.45,4780.15,30.94,59.79,0.704,0
FAZ_00122,TerraScan_X,Milho,687.26,Inundacao,Argiloso,Verao,26.76,89.55,76.11,9529.5,28.28,54.86,0.597,1
FAZ_00123,AgroSat_BR,Soja,511.8,Gotejamento,,Inverno,7.52,77.21,61.58,6423.98,14.14,79.34,0.818,0
FAZ_00124,Gaia_Vision,Batata,600.16,Inundacao,Arenoso,Inverno,13.72,152.53,70.1,10884.72,20.76,76.44,0.663,0
FAZ_00125,Sentinel_Agro,Cana_de_Acucar,562.57,Inundacao,Arenoso,Verao,17.91,82.16,58.24,7153.17,21.37,75.41,0.706,1
FAZ_00126,TerraScan_X,Arroz,322.87,Aspersao,Siltoso,Outono,6.42,93.89,47.23,4664.03,26.82,74.04,0.782,0
FAZ_00127,AgroSat_BR,Cenoura,611.31,Sequeiro,Siltoso,Inverno,11.61,124.79,70.72,5404.65,21.58,54.45,0.72,0
FAZ_00128,TerraScan_X,Arroz,309.07,Aspersao,Arenoso,Primavera,7.17,99.2,43.76,3136.76,26.96,57.28,0.601,0
FAZ_00129,AgroSat_BR,Trigo,739.48,Gotejamento,Argiloso,Primavera,10.38,86.5,92.72,9110.65,22.16,67.5,0.687,0
FAZ_00130,AgroSat_BR,Soja,297.72,Gotejamento,Argiloso,Verao,10.44,74.25,69.01,1841.86,21.16,90.8,0.893,0
FAZ_00131,Gaia_Vision,Tomate,543.82,Aspersao,Argiloso,Outono,20.43,222.32,50.43,5772.56,21.5,62.08,0.637,0
FAZ_00132,AgroSat_BR,Batata,442.74,Inundacao,Argiloso,Verao,8.3,131.3,49.04,6555.64,20.42,72.21,0.737,1
FAZ_00133,TerraScan_X,Trigo,175.1,Gotejamento,Calcario,Outono,3.22,35.02,50.56,2050.26,30.92,50.5,0.718,0
FAZ_00134,AgroSat_BR,Trigo,306.47,Manual,Calcario,Outono,7.71,43.17,65.85,3546.76,18.93,73.81,0.852,0
FAZ_00135,Gaia_Vision,Arroz,392.19,Gotejamento,Franco,Primavera,13.85,116.99,56.18,5117.32,14.7,73.76,0.793,0
FAZ_00136,Gaia_Vision,Batata,277.05,Aspersao,Arenoso,Inverno,5.33,42.46,45.78,2825.48,21.56,77.84,0.76,0
FAZ_00137,TerraScan_X,Arroz,341.93,Manual,Arenoso,Inverno,14.5,120.95,54.53,4001.67,32.06,45.59,0.6,1
FAZ_00138,OrbSat_Field,Cana_de_Acucar,620.63,Gotejamento,Franco,Verao,20.25,94.51,82.64,6110.16,27.99,60.43,0.654,0
FAZ_00139,OrbSat_Field,Batata,310.95,Inundacao,Argiloso,Verao,12.4,129.97,45.93,5295.21,31.35,53.38,0.685,1
FAZ_00140,AgroSat_BR,Cana_de_Acucar,181.24,Manual,Organico,Outono,11.64,18.1,47.04,2892.9,17.75,62.97,0.846,0
FAZ_00141,Sentinel_Agro,Soja,135.13,Inundacao,Organico,Inverno,3.47,23.48,37.22,3453.91,20.89,56.43,0.761,0
FAZ_00142,AgroSat_BR,Soja,380.04,Aspersao,Franco,Outono,12.46,94.95,54.86,3035.46,14.04,77.26,0.828,0
FAZ_00143,TerraScan_X,Cana_de_Acucar,382.62,Manual,Organico,Primavera,8.0,98.98,51.1,4225.32,14.62,74.94,0.809,0
FAZ_00144,TerraScan_X,Soja,971.52,Sequeiro,Siltoso,Primavera,35.0,217.01,51.84,12773.96,31.97,27.44,0.391,1
FAZ_00145,TerraScan_X,Batata,424.2,Gotejamento,Arenoso,Outono,13.5,133.44,55.5,3543.56,22.99,73.65,0.698,0
FAZ_00146,TerraScan_X,Cenoura,394.22,Inundacao,Organico,Outono,9.35,58.26,47.27,6892.43,27.62,43.28,0.704,1
FAZ_00147,TerraScan_X,Algodao,323.86,Gotejamento,Calcario,Outono,7.8,126.98,48.7,1616.43,36.64,59.74,0.581,0
FAZ_00148,Gaia_Vision,Soja,386.55,Gotejamento,Calcario,Outono,14.61,72.95,59.66,2227.15,18.88,96.33,0.95,0
FAZ_00149,OrbSat_Field,Soja,749.44,Aspersao,Siltoso,Outono,12.61,123.83,55.14,7589.88,28.12,64.46,0.526,1
FAZ_00150,TerraScan_X,Arroz,748.59,Sequeiro,Arenoso,Primavera,18.93,161.34,59.33,9058.7,18.01,71.12,0.592,1
FAZ_00151,Sentinel_Agro,Cana_de_Acucar,454.29,Inundacao,Siltoso,Primavera,9.73,91.44,71.8,7437.23,20.39,56.4,0.661,0
FAZ_00152,Sentinel_Agro,Milho,222.51,Aspersao,Arenoso,Primavera,12.33,59.18,33.55,2352.5,28.67,63.57,0.665,0
FAZ_00153,Sentinel_Agro,Tomate,407.74,Gotejamento,Arenoso,Verao,17.36,114.21,55.73,4116.91,27.19,52.49,0.623,0
FAZ_00154,Sentinel_Agro,Trigo,193.81,Sequeiro,Organico,Primavera,2.96,18.24,47.61,2449.27,22.86,74.08,0.719,0
FAZ_00155,Gaia_Vision,Soja,567.38,Aspersao,Calcario,Inverno,7.93,130.33,81.31,3660.65,14.72,69.92,0.729,0
FAZ_00156,Sentinel_Agro,Trigo,326.58,Aspersao,Franco,Inverno,5.62,90.32,63.89,2937.38,17.62,76.23,0.713,0
FAZ_00157,TerraScan_X,Batata,154.49,Sequeiro,Organico,Outono,4.03,90.79,39.22,1524.02,22.19,80.21,0.84,0
FAZ_00158,AgroSat_BR,Milho,279.57,Inundacao,Argiloso,Primavera,9.68,34.04,45.09,7971.58,27.11,57.64,0.639,1
FAZ_00159,Sentinel_Agro,Tomate,471.75,Gotejamento,Siltoso,Outono,11.11,99.4,72.85,2727.66,24.96,68.35,0.734,0
FAZ_00160,Gaia_Vision,Cana_de_Acucar,650.48,Aspersao,Argiloso,Outono,28.3,111.79,90.73,9675.4,24.87,72.64,0.809,1
FAZ_00161,Gaia_Vision,Algodao,415.77,Sequeiro,Arenoso,Inverno,5.64,201.68,52.45,6421.21,24.73,74.92,0.571,1
FAZ_00162,Sentinel_Agro,Tomate,523.49,Sequeiro,Organico,Inverno,19.0,133.45,64.24,5506.21,28.02,55.36,0.61,1
FAZ_00163,AgroSat_BR,Tomate,627.36,Gotejamento,Argiloso,Outono,17.54,245.43,78.66,5439.03,10.39,98.0,0.747,0
FAZ_00164,Sentinel_Agro,Algodao,510.55,Aspersao,Argiloso,Inverno,6.2,235.79,55.74,8017.4,31.61,65.97,0.563,1
FAZ_00165,Gaia_Vision,Cenoura,517.31,Gotejamento,Calcario,Outono,11.95,121.85,54.52,3613.51,24.31,76.76,0.734,0
FAZ_00166,OrbSat_Field,Cana_de_Acucar,361.6,Inundacao,Argiloso,Outono,12.18,39.45,38.81,4972.73,38.16,54.91,0.593,0
FAZ_00167,TerraScan_X,Arroz,398.27,Manual,Calcario,Outono,8.43,104.7,63.2,3245.44,27.84,60.49,0.693,0
FAZ_00168,Gaia_Vision,Trigo,403.25,Aspersao,Calcario,Verao,5.06,127.54,43.73,4066.34,32.13,59.44,0.623,0
FAZ_00169,Sentinel_Agro,Soja,206.8,Manual,Arenoso,Inverno,3.72,10.15,47.03,1489.3,17.87,67.76,0.724,0
FAZ_00170,TerraScan_X,Tomate,401.47,Inundacao,Calcario,Inverno,13.76,215.64,45.82,10784.99,17.19,63.18,0.64,1
FAZ_00171,Sentinel_Agro,Batata,283.71,Manual,Arenoso,Primavera,6.1,103.4,32.9,1894.77,31.7,45.44,0.493,0
FAZ_00172,Sentinel_Agro,Algodao,374.92,Sequeiro,Calcario,Inverno,5.84,112.13,36.58,5135.54,21.25,61.97,0.669,0
FAZ_00173,OrbSat_Field,Trigo,552.27,Aspersao,Calcario,Primavera,12.92,181.61,44.65,3522.42,31.16,60.03,0.446,1
FAZ_00174,TerraScan_X,Milho,264.8,Aspersao,Arenoso,Outono,11.8,72.17,45.32,1607.53,20.5,69.26,0.812,0
FAZ_00175,TerraScan_X,Algodao,436.56,Inundacao,Argiloso,Verao,13.53,172.24,60.35,8714.42,27.2,50.14,0.628,1
FAZ_00176,OrbSat_Field,Milho,480.86,Manual,Siltoso,Outono,18.93,72.73,66.07,6223.5,5.16,89.32,0.83,0
FAZ_00177,Gaia_Vision,Cana_de_Acucar,498.01,Gotejamento,Organico,Outono,14.85,152.41,72.01,4014.22,13.68,97.41,0.943,0
FAZ_00178,Sentinel_Agro,Tomate,322.31,Manual,Organico,Outono,12.71,103.56,67.84,3064.14,26.4,78.06,0.787,0
FAZ_00179,AgroSat_BR,Batata,487.33,Gotejamento,Arenoso,Primavera,12.78,245.63,47.81,3200.94,15.8,85.74,0.505,1
FAZ_00180,Sentinel_Agro,Soja,691.67,Gotejamento,Argiloso,Verao,12.31,180.19,72.44,8318.91,34.52,45.23,0.467,1
FAZ_00181,Sentinel_Agro,Milho,569.04,Gotejamento,Siltoso,Outono,13.13,75.2,59.1,4351.59,23.25,88.12,0.874,0
FAZ_00182,Gaia_Vision,Trigo,415.11,Sequeiro,Franco,Primavera,10.91,84.6,44.22,3564.49,22.23,70.11,0.702,0
FAZ_00183,Sentinel_Agro,Cenoura,556.38,Inundacao,Arenoso,Outono,14.46,101.49,64.84,10065.03,22.1,73.43,0.658,0
FAZ_00184,OrbSat_Field,Cana_de_Acucar,141.82,Gotejamento,Franco,Verao,6.91,2.02,40.33,800.0,33.9,72.21,0.839,0
FAZ_00185,OrbSat_Field,Cenoura,524.06,Sequeiro,Organico,Outono,16.11,57.8,56.94,4810.84,32.34,67.28,0.797,0
